Title,Description,Url,Started On,Finished On
Battle Talent Game Localisation,"Translating\Localizing a physics-based rogue-lite action VR game, Battle Talent by CyDream Technologies Limited, into Turkish.",https://store.steampowered.com/app/1331510/Battle_Talent/,Jan 2021,
Izmir University Of Economics - Poster Exhibition for Translation and Interpreting Students,Izmir University of Economics Poster Exhibition for Translation and Interpreting Students about Republican Era Polymats available between 11-19 May 2022.,,May 2022,May 2022
Heroes of Hammerwatch II Game Localization,"In this project, I contributed as a Translator, responsible for ensuring consistency in translations, maintaining stylistic integrity across in-game texts, and collaborating closely with the development team to align the game’s narrative with its gameplay mechanics.",,Jan 2025,
Localization Comparison Tool,"An application for comparing localization files (CSV, LANG, XML, etc...) to identify added, and removed, translation strings.  Repository: https://github.com/KhazP/LocalizerAppMain",,Feb 2025,
