ALERT_PARAMETERS,QUERY_CONTEXT,SAVED_SEARCH_ID
"{smartExpansionEnabled=true, channels=[INAPP_NOTIFICATION, EMAIL], frequency=DAILY}","{keywords=administration assistant, spellCheckEnabled=true, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:102105699}]}}, facets={organizations={selectedValues=[urn:li:organization:27208943]}, workplaceTypes={selectedValues=[urn:li:workplaceType:1, urn:li:workplaceType:2, urn:li:workplaceType:3]}}}",3571066937
"{smartExpansionEnabled=true, channels=[INAPP_NOTIFICATION, EMAIL], frequency=DAILY}","{keywords=assistant manager, spellCheckEnabled=true, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:102105699}]}}, facets={organizations={selectedValues=[urn:li:organization:27208943]}, workplaceTypes={selectedValues=[urn:li:workplaceType:1, urn:li:workplaceType:2, urn:li:workplaceType:3]}}}",3571066929
"{smartExpansionEnabled=true, channels=[INAPP_NOTIFICATION, EMAIL], frequency=DAILY}","{keywords=assistant, spellCheckEnabled=true, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:102105699}]}}, facets={organizations={selectedValues=[urn:li:organization:27208943]}, workplaceTypes={selectedValues=[urn:li:workplaceType:1, urn:li:workplaceType:2, urn:li:workplaceType:3]}}}",3571066921
"{smartExpansionEnabled=true, channels=[INAPP_NOTIFICATION, EMAIL], frequency=DAILY}","{keywords=assistant manager, spellCheckEnabled=true, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:102105699}]}}, facets={organizations={selectedValues=[urn:li:organization:10411476]}, workplaceTypes={selectedValues=[urn:li:workplaceType:1, urn:li:workplaceType:2, urn:li:workplaceType:3]}}}",3571066529
"{smartExpansionEnabled=true, channels=[INAPP_NOTIFICATION, EMAIL], frequency=DAILY}","{keywords=assistant, spellCheckEnabled=true, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:102105699}]}}, facets={organizations={selectedValues=[urn:li:organization:10411476]}, workplaceTypes={selectedValues=[urn:li:workplaceType:1, urn:li:workplaceType:2, urn:li:workplaceType:3]}}}",3571066513
"{smartExpansionEnabled=true, channels=[INAPP_NOTIFICATION, EMAIL], frequency=DAILY}","{keywords=assistant, spellCheckEnabled=true, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:102105699}]}}, facets={organizations={selectedValues=[urn:li:organization:34973250]}, workplaceTypes={selectedValues=[urn:li:workplaceType:1, urn:li:workplaceType:2, urn:li:workplaceType:3]}}}",3571066505
"{smartExpansionEnabled=true, channels=[INAPP_NOTIFICATION, EMAIL], frequency=DAILY}","{keywords=assistant manager, spellCheckEnabled=true, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:102105699}]}}, facets={organizations={selectedValues=[urn:li:organization:34973250]}, workplaceTypes={selectedValues=[urn:li:workplaceType:1, urn:li:workplaceType:2, urn:li:workplaceType:3]}}}",3571066497
